run,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G100
alphamn-0.95,1.153822838,1.477560054,0.497715361,0.431567894,0.401673427,0.348383849,0.318054914,0.288442894,0.263648369,0.243994082,0.23819538,0.223368622,0.210322566,0.201357682,0.191816441,0.189248658,0.183074468,0.174703209,0.169244856,0.163665348,0.164019995,0.160505691,0.155252292,0.15037901,0.151930364,0.148460774,0.144322811,0.145844777,0.142604694,0.13902574,0.135379628,0.136478387,0.133797743,0.131004595,0.131689386,0.129241954,0.12751312,0.128183615,0.126323394,0.126970651,0.124615598,0.123141711,0.123277306,0.121672343,0.119879751,0.121368599,0.118517376,0.116661456,0.114450783,0.116364787,0.114630348,0.115495162,0.113267431,0.111551035,0.112376817,0.111422686,0.109427756,0.107635898,0.109529136,0.107807627,0.106531433,0.10759312,0.106367676,0.106904759,0.105719051,0.105537242,0.106351782,0.105734149,0.104341689,0.102812741,0.104119455,0.1025877,0.10074723,0.10208607,0.101284083,0.101884651,0.100624797,0.099081755,0.100207201,0.098489713,0.097960135,0.096438096,0.097601585,0.096896255,0.097726895,0.096585827,0.095407258,0.097071246,0.095615504,0.094656531,0.09348862,0.094191342,0.093686282,0.092526141,0.093019577,0.092377149,0.091813978,0.092926772,0.091837984
alphamn-0.96,1.145436249,1.480116367,0.484882375,0.42897404,0.400192898,0.344682592,0.321533642,0.286536079,0.261821523,0.244475623,0.227206379,0.223212445,0.211576694,0.201871948,0.193639693,0.19188605,0.184380421,0.179495626,0.171552298,0.165933716,0.165664911,0.161669232,0.156120926,0.157714981,0.151835576,0.148376932,0.144694487,0.146490146,0.142401701,0.138682202,0.13563949,0.136980713,0.134244727,0.135072656,0.132103262,0.12949343,0.127080325,0.127597379,0.125576154,0.123252979,0.124507497,0.123411356,0.123477247,0.122270847,0.120082364,0.121403061,0.119053824,0.116356713,0.118174192,0.115810435,0.114317763,0.115620465,0.113576563,0.111290271,0.112674423,0.111822919,0.110326609,0.108893308,0.110081873,0.110031114,0.109892368,0.108804328,0.107018982,0.107810629,0.105439093,0.104482137,0.105888455,0.104166529,0.103040118,0.104486092,0.103536806,0.101731865,0.103235868,0.101683838,0.100858928,0.10212581,0.100823716,0.099942126,0.100854688,0.099780909,0.100931641,0.09974239,0.098352851,0.099756732,0.097726754,0.09682397,0.096407279,0.097503605,0.096764943,0.097254008,0.095318459,0.094233464,0.092800706,0.093713531,0.093141111,0.092460013,0.093150533,0.092664851,0.091473144
alphamn-0.97,1.12894803,1.486783196,0.500227224,0.433978943,0.401183703,0.348892306,0.321777352,0.290213293,0.263987454,0.244953808,0.239249138,0.223298618,0.212843745,0.201795262,0.191271459,0.190792708,0.182899763,0.17523935,0.168901398,0.163956398,0.164845813,0.16003675,0.156133784,0.156197729,0.152217492,0.147809085,0.144942819,0.145709469,0.143406539,0.140275734,0.14096373,0.139103477,0.135721988,0.136613297,0.133903788,0.132131272,0.132719382,0.130129519,0.126696034,0.128566231,0.125768614,0.123828368,0.124788396,0.122423989,0.120552057,0.12087107,0.120761204,0.118186773,0.114882467,0.116723122,0.114120623,0.114426584,0.113140408,0.112505392,0.110352941,0.112647304,0.113742244,0.111813843,0.110490646,0.110604957,0.109894132,0.108442111,0.10915696,0.108627793,0.106670577,0.107315033,0.106325022,0.104672765,0.105219674,0.104227114,0.102815192,0.103826043,0.103340942,0.101760342,0.10333558,0.102359554,0.100861867,0.100947938,0.099547442,0.098220038,0.097802662,0.096924332,0.095668524,0.096084006,0.095173623,0.094555564,0.095179538,0.094497595,0.093093503,0.093769571,0.09310388,0.093678364,0.092458771,0.09140568,0.092384922,0.090861114,0.090720316,0.091408691,0.08997918
alphamn-0.98,1.15997688,1.483913644,0.496256456,0.4299239,0.400092265,0.345320766,0.31933853,0.287892369,0.261100907,0.243629241,0.23675236,0.222027214,0.211236558,0.199389461,0.190532163,0.188742051,0.181363741,0.175071908,0.169848929,0.169998415,0.165739505,0.161754263,0.156538455,0.155746265,0.151534898,0.147806412,0.143644056,0.145109379,0.142459468,0.140084972,0.140014674,0.13772344,0.134876601,0.136042971,0.133549668,0.131120968,0.131724402,0.129457302,0.127813862,0.128808563,0.125622927,0.124001325,0.124364065,0.122648409,0.119878599,0.121842528,0.119622554,0.118254574,0.119580672,0.117241368,0.115860675,0.117225248,0.115292218,0.113801378,0.115439123,0.112570656,0.111618232,0.112183826,0.110641208,0.111223461,0.109886096,0.108749556,0.106828389,0.108523669,0.107551238,0.108461938,0.107569952,0.106715654,0.106920057,0.105932984,0.105080124,0.105978686,0.105296582,0.103277419,0.103675378,0.102084096,0.100946952,0.101832519,0.100231141,0.099595787,0.100606031,0.099113442,0.098411416,0.09836258,0.097099833,0.096344001,0.097577193,0.09649958,0.09602082,0.096142679,0.094776811,0.094448873,0.095195252,0.093949927,0.092778403,0.094017563,0.093418209,0.092391295,0.093658161
alphamn-0.99,1.147905242,1.455130169,0.494224465,0.438085421,0.404656009,0.346872881,0.319782778,0.29148362,0.266805637,0.247296739,0.240767468,0.226969053,0.214083756,0.203171479,0.193929698,0.193170495,0.186980945,0.178919543,0.172921934,0.166496827,0.167236513,0.16290894,0.157058301,0.15704201,0.153140973,0.149158406,0.149591784,0.144857726,0.143145958,0.143312665,0.140080615,0.136798859,0.133799598,0.13486609,0.132261255,0.130058815,0.129495376,0.127906902,0.129892178,0.12690158,0.12526416,0.126212478,0.12411733,0.122843211,0.122815167,0.120891086,0.120068266,0.119728058,0.118049689,0.115788569,0.117447477,0.116041491,0.114639616,0.112953869,0.115585952,0.113182779,0.114605981,0.112625837,0.111007157,0.111342839,0.109822867,0.108354817,0.109238372,0.107998012,0.106640156,0.106662247,0.105155297,0.10381936,0.104255067,0.103577267,0.102628843,0.103972935,0.104182391,0.102024397,0.103104185,0.102237245,0.10251213,0.102246293,0.100604578,0.099852348,0.099921851,0.098646983,0.099303448,0.098205293,0.097507219,0.096262005,0.098086066,0.096828741,0.097180343,0.096101079,0.094908146,0.095239611,0.094120547,0.093293555,0.094353215,0.093103371,0.092794783,0.09309971,0.092542663
alphamn-1.01,1.147256557,1.494611078,0.491030188,0.432778064,0.405144765,0.347450199,0.323436842,0.291559478,0.266388124,0.24705051,0.241678865,0.225713531,0.213344221,0.204118577,0.195183794,0.19352259,0.1861685,0.178452131,0.172576856,0.17342667,0.167895466,0.162773742,0.158207061,0.158975617,0.153484153,0.150014864,0.149999322,0.147059707,0.142400347,0.139766633,0.141366344,0.138679385,0.135979777,0.136313183,0.133574314,0.134687296,0.13199949,0.129035646,0.126692295,0.128137728,0.125797425,0.124187706,0.125093626,0.123614754,0.124221707,0.121875162,0.122888808,0.121297606,0.119040619,0.117380184,0.117519267,0.116840798,0.117630116,0.115002441,0.113706164,0.112167425,0.113729559,0.110996155,0.109856865,0.110326202,0.108807805,0.110426107,0.109088262,0.108044188,0.108004712,0.107006377,0.105665074,0.106929988,0.1061165,0.105806684,0.104372489,0.103651844,0.102831191,0.103460359,0.102366096,0.101288784,0.101316142,0.100400662,0.099539323,0.100485096,0.099349269,0.099449483,0.098184598,0.097135099,0.097908072,0.097156791,0.09672298,0.097639441,0.096058598,0.09560568,0.096117675,0.095192971,0.09536004,0.094635626,0.093837043,0.092440028,0.093250292,0.092517153,0.093248327
alphamn-1.02,1.153816004,1.482089979,0.486603916,0.432589488,0.397963979,0.347955015,0.319217656,0.290818481,0.264352095,0.247367087,0.239945131,0.22588773,0.212930313,0.202671323,0.198886835,0.19003709,0.18397845,0.177864457,0.171104047,0.170558202,0.165382599,0.161179626,0.160441547,0.155902493,0.152343266,0.148320169,0.150113166,0.146233493,0.142997793,0.143861353,0.141418478,0.138168837,0.138887268,0.135547346,0.133245361,0.133360871,0.131215206,0.12847485,0.129831136,0.127485088,0.125276116,0.125111079,0.123567947,0.121185939,0.122618611,0.120992582,0.122500477,0.119641088,0.118200064,0.119129457,0.11807699,0.116005555,0.116947881,0.116400537,0.117357066,0.116337551,0.113989545,0.114582793,0.112442738,0.111028311,0.112459459,0.111283904,0.112025178,0.111189282,0.110071138,0.109090319,0.109794686,0.108009054,0.106453893,0.107776177,0.106260299,0.107361268,0.106861762,0.105111098,0.106461504,0.105285768,0.103804999,0.105378199,0.103417057,0.101995678,0.102686177,0.101367423,0.100385945,0.100901733,0.09951513,0.098736038,0.099795181,0.098521441,0.099141585,0.097415268,0.097203152,0.098071437,0.097401991,0.096200491,0.095844733,0.095669855,0.095010506,0.095312041,0.094372998
alphamn-1.03,1.143600767,1.495375378,0.493884365,0.431316237,0.402932399,0.347863108,0.322072981,0.289063468,0.26449721,0.245944924,0.239977077,0.226320317,0.214102004,0.203264637,0.193692316,0.193263858,0.185326299,0.178029429,0.17263156,0.172155914,0.166350066,0.161136301,0.162136551,0.157253231,0.153366958,0.150829835,0.150934237,0.147547188,0.145220894,0.144478805,0.141637746,0.138340019,0.139247131,0.137034799,0.133097422,0.134704698,0.132597153,0.129399908,0.130678251,0.127406521,0.128748085,0.126526345,0.124163528,0.125766317,0.1240039,0.121502138,0.123419067,0.122533305,0.122743054,0.1203973,0.118917713,0.119344825,0.117851441,0.116242097,0.116312381,0.116110947,0.114862684,0.115858908,0.114735573,0.113523739,0.114375596,0.112041489,0.110815256,0.111607124,0.109586452,0.11021598,0.108894968,0.107095111,0.10849106,0.107430427,0.105752373,0.106801879,0.105856574,0.106042602,0.104234401,0.10320465,0.102146174,0.102545368,0.101980509,0.103107503,0.101658538,0.100020634,0.100477063,0.098959075,0.097874026,0.099105037,0.098288384,0.097577992,0.098702352,0.09710276,0.09812792,0.097155793,0.095692676,0.096640806,0.094731795,0.094261576,0.094771372,0.09329481,0.092586949
alphamn-1.04,1.151547135,1.47741814,0.492688875,0.435326015,0.403224622,0.346272204,0.32069869,0.292557704,0.265810974,0.248020189,0.240704409,0.224935441,0.213411596,0.20242326,0.19477278,0.191964618,0.186282715,0.179466368,0.178851364,0.172596239,0.167520196,0.162512983,0.161736621,0.15870955,0.153495845,0.149603577,0.150080146,0.145891925,0.142715803,0.143366592,0.140883856,0.138044408,0.138845739,0.136760576,0.134333027,0.135806145,0.132362799,0.133483271,0.130709553,0.128445474,0.128511877,0.126524836,0.12453298,0.125830839,0.123475203,0.124417354,0.123402253,0.121037591,0.121103387,0.119577901,0.118093608,0.118714373,0.117508349,0.118652622,0.117263954,0.115194454,0.112908078,0.113063117,0.11162376,0.112283863,0.111396871,0.10995309,0.110888973,0.110064026,0.110359826,0.109050475,0.108343787,0.108370368,0.106831969,0.105896619,0.106429347,0.106370288,0.10487265,0.105431856,0.104917301,0.10338799,0.103352945,0.102712969,0.101448071,0.10228382,0.100407685,0.098962128,0.099180293,0.09841091,0.097330846,0.097945435,0.096939957,0.097054883,0.0963322,0.095154428,0.09642102,0.095528493,0.096425222,0.095618795,0.094843714,0.095216669,0.094118427,0.093176651,0.091990336
alphamn-1.05,1.143256193,1.480132346,0.495565074,0.43328309,0.403194803,0.348913102,0.320675665,0.287831419,0.266057052,0.250043068,0.239805334,0.225266429,0.214521207,0.202660803,0.199173156,0.190958424,0.183962345,0.176214224,0.170350291,0.170975702,0.165559756,0.165181779,0.16039496,0.157242259,0.152596376,0.154060708,0.149190239,0.145752682,0.146432855,0.143234498,0.140071542,0.14063407,0.138732953,0.134859497,0.135977848,0.1340462,0.130991949,0.132189143,0.128587207,0.127050237,0.128311093,0.126002889,0.123539308,0.124668764,0.122784017,0.123610479,0.121521242,0.119402961,0.120641624,0.118909554,0.117369569,0.119018216,0.116729728,0.117357151,0.115708176,0.114778536,0.115842028,0.114345738,0.115461146,0.115113357,0.112694954,0.114741838,0.11367933,0.112133076,0.112962522,0.111294766,0.110828267,0.111290771,0.110063269,0.108564793,0.110054575,0.109213057,0.107324594,0.108434242,0.106274945,0.106367938,0.105084136,0.103539472,0.105192212,0.104182842,0.102980063,0.103176032,0.102789416,0.101004914,0.101510633,0.100318723,0.099634318,0.100739083,0.0994464,0.100159378,0.099156117,0.098232522,0.096395397,0.097093627,0.096753099,0.09743079,0.096864119,0.095239851,0.09597429
alphamn-1,1.146260652,1.483620772,0.492692937,0.431458731,0.401272071,0.34494775,0.321030789,0.290509838,0.268279367,0.246277257,0.239463812,0.224480205,0.213936402,0.202095746,0.193615387,0.191107935,0.183479635,0.176152713,0.169377862,0.168416282,0.163552018,0.160799264,0.15633002,0.156717733,0.151963659,0.148106941,0.148966215,0.146658493,0.142895677,0.139366487,0.140447289,0.138502178,0.134985171,0.136306286,0.133342504,0.130775606,0.130820255,0.128997713,0.126102936,0.127440783,0.125947263,0.126438208,0.124931728,0.122609359,0.122861307,0.120774875,0.118803166,0.118927719,0.117449697,0.11528085,0.116013364,0.114903509,0.113034443,0.114223344,0.112581797,0.113237663,0.111975469,0.110468083,0.111522244,0.109525167,0.108083181,0.108771413,0.107176146,0.105541335,0.106850432,0.10620478,0.107025418,0.10564229,0.104162347,0.105256402,0.103520202,0.102191092,0.103710854,0.101930481,0.100721688,0.101988766,0.101219924,0.099842588,0.1011761,0.09956299,0.099695131,0.100286689,0.099376029,0.100085215,0.099174226,0.09773247,0.096810182,0.097863946,0.096806303,0.095592376,0.096505199,0.09574602,0.096159068,0.095841834,0.0942262,0.09540752,0.094647263,0.093537585,0.094470714
alphanm-0.95,1.149397659,1.490894779,0.489694394,0.431726742,0.395228664,0.340723328,0.316247311,0.285633779,0.27139087,0.250641388,0.23410385,0.227028692,0.21632165,0.206497838,0.201613462,0.192621705,0.191611107,0.184679466,0.177565955,0.176887531,0.17105333,0.170174111,0.16488519,0.16634374,0.160788376,0.155798911,0.15461293,0.150453738,0.150966371,0.147206087,0.147341874,0.143876808,0.145036371,0.141147686,0.142671125,0.139027625,0.13980599,0.136013421,0.136331387,0.133709751,0.13491891,0.131057911,0.132008979,0.1296765,0.130132575,0.128115146,0.129148194,0.126197174,0.127829689,0.124767943,0.125120383,0.123085816,0.122461663,0.12120971,0.122004107,0.120111437,0.11772942,0.118967915,0.119227184,0.11702615,0.117166004,0.115104168,0.115789061,0.114056759,0.115556267,0.112468919,0.113408915,0.112080583,0.11236627,0.111050097,0.111774804,0.110223085,0.11105298,0.108720539,0.106862925,0.106952866,0.107906245,0.106348469,0.104726505,0.10533019,0.105948011,0.104832242,0.104748674,0.103270422,0.101339622,0.101760933,0.102839661,0.101888431,0.102410441,0.10130444,0.101812957,0.100023768,0.101275207,0.100207927,0.100097579,0.098692105,0.100110016,0.098822969,0.096375542
alphanm-0.96,1.145243163,1.461119171,0.490337522,0.426362722,0.396128832,0.341504132,0.317172525,0.28432043,0.259544616,0.252496058,0.232017388,0.218223967,0.216553581,0.203977959,0.194390236,0.192819623,0.183968683,0.1769278,0.176688557,0.171013508,0.171015779,0.165557544,0.16012253,0.159931465,0.155440635,0.155087397,0.152420608,0.153797467,0.148215285,0.145028815,0.145678943,0.141917311,0.141928313,0.138522127,0.140381263,0.135895458,0.13735761,0.136195893,0.135886695,0.133762391,0.1335163,0.13048808,0.13163345,0.12909221,0.126535387,0.127234109,0.125376161,0.125329897,0.123794865,0.124054886,0.121797311,0.12373632,0.121484305,0.122937619,0.120494199,0.120650652,0.118457703,0.119370552,0.117438583,0.117803947,0.116903837,0.117352039,0.115220226,0.112812767,0.113892469,0.111190264,0.112076465,0.110544451,0.111201823,0.109949237,0.111392812,0.109300094,0.109217735,0.107941087,0.107969532,0.107114112,0.108194198,0.107189922,0.105784815,0.10653946,0.105422048,0.104838163,0.104203101,0.105157374,0.103240569,0.101639603,0.102307424,0.100863537,0.102154821,0.102688211,0.101436798,0.099575208,0.100263602,0.099225262,0.100141456,0.099131935,0.099250613,0.097700058,0.098865666
alphanm-0.97,1.15319107,1.468066776,0.494973561,0.432093136,0.394552734,0.340972114,0.314954978,0.284896569,0.260878597,0.250670139,0.235805141,0.220492413,0.216719906,0.205579673,0.196062164,0.186060608,0.186046679,0.177154836,0.170749736,0.172079053,0.166533723,0.166218149,0.160837377,0.155954676,0.155624447,0.152139979,0.153560954,0.149189341,0.145512311,0.144904379,0.142975835,0.14250552,0.138858135,0.140160616,0.136525472,0.137028373,0.134937018,0.131609764,0.133988312,0.129628665,0.130396741,0.128089673,0.128758857,0.126446558,0.1242131,0.124854488,0.122876059,0.123837342,0.121591708,0.121999064,0.120009714,0.120440322,0.118997643,0.116622936,0.117126184,0.116887286,0.117332619,0.116021617,0.115496636,0.113705753,0.111735008,0.111984993,0.110492064,0.11066447,0.109393344,0.110051616,0.108053547,0.106601814,0.107496756,0.107927772,0.106505033,0.105420896,0.10596281,0.105618468,0.106171186,0.104492487,0.106446816,0.104085867,0.10549466,0.103984477,0.103077606,0.102812889,0.101792106,0.102631128,0.101371711,0.100081044,0.10071075,0.099521902,0.100220415,0.09921791,0.100837137,0.099169398,0.100239466,0.099336273,0.098119631,0.098068697,0.097648797,0.09838864,0.096976132
alphanm-0.98,1.153927431,1.482501968,0.494086721,0.434296903,0.396651772,0.344897345,0.317784756,0.287806929,0.264083008,0.24383237,0.238722322,0.224067511,0.211306319,0.207812443,0.19764413,0.190605015,0.183652038,0.180462189,0.176721635,0.170932975,0.171000344,0.166091173,0.160077769,0.161440899,0.156147804,0.151847334,0.152168785,0.147484279,0.147193631,0.143422281,0.140034555,0.140637615,0.13788866,0.138563394,0.135709065,0.133450371,0.133544168,0.131023614,0.132308017,0.130408466,0.12767858,0.128418132,0.126021574,0.127845267,0.12571097,0.12377701,0.123795544,0.121502601,0.121905897,0.119407856,0.118188047,0.119413751,0.118095958,0.118716037,0.11735369,0.11852613,0.11740761,0.114871631,0.115666402,0.114018219,0.115180138,0.112239003,0.113644712,0.112573583,0.110148814,0.111330361,0.109377933,0.110224035,0.109627049,0.107901704,0.109574288,0.108112931,0.109183051,0.107860553,0.105827494,0.106824012,0.105539154,0.105963267,0.105012131,0.103517324,0.10403058,0.102956072,0.103933014,0.102230148,0.101324478,0.10208378,0.101527895,0.102373203,0.101157706,0.101926598,0.100324867,0.099448846,0.101278508,0.099580362,0.09957912,0.098198523,0.097189722,0.098398907,0.096617222
alphanm-0.99,1.154129873,1.472892232,0.488934912,0.430507477,0.398782839,0.344569245,0.319221819,0.289117781,0.265414607,0.245662627,0.235709314,0.223231999,0.210246466,0.200290805,0.197705054,0.18998277,0.182867748,0.176573458,0.174237706,0.170084291,0.164379378,0.164456133,0.159653962,0.155131616,0.155263704,0.152123778,0.14807279,0.148289546,0.144136748,0.141805754,0.142833544,0.139623959,0.137003353,0.137582072,0.135353808,0.132421884,0.132950278,0.130138641,0.130721847,0.129314522,0.12737684,0.128578946,0.12583791,0.123891093,0.125461982,0.123492651,0.124429138,0.123250747,0.120752178,0.120393945,0.118073132,0.118722982,0.117199482,0.115618981,0.113453362,0.113678067,0.112450251,0.111796084,0.110508491,0.108804022,0.110129537,0.109056539,0.109380411,0.108005138,0.106822563,0.107119618,0.105371755,0.106883664,0.105419218,0.104513311,0.105796357,0.104491796,0.104368438,0.10421756,0.103308472,0.103725775,0.102073829,0.10039691,0.101174581,0.100489546,0.098890679,0.099835668,0.099214655,0.099862988,0.098160271,0.099155912,0.098383584,0.097098597,0.096603899,0.097408208,0.096418325,0.098090108,0.09709995,0.097518631,0.096357159,0.094452652,0.095388587,0.09395644,0.092859163
